"filename", "language", "JSON", "Markdown", "JavaScript", "HTTP", "TypeScript", "TypeScript React", "CSS", "XML", "HTML", "comment", "blank", "total"
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/VerifyCheckMark.css", "CSS", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/content/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 4, 30
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/redux/action.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 5, 32
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/redux/reducers/index.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 4, 17
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/redux/reducers/loginReducer.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 4, 18
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/redux/reducers/usernameReducer.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 4, 18
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/redux/reduxTypes.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 1, 10
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/reportWebVitals.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/scripts/apiRequest.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 5, 32
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/scripts/askNotify.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 1, 12
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/scripts/badWords.ts", "TypeScript", 0, 0, 0, 0, 454, 0, 0, 0, 0, 5, 2, 461
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/scripts/findUserInfo.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 10, 6, 39
